;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SAL;CTL;DB13.SAL;DB14.SAL;DB15.SAL;DB16.SAL;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17270388;C1ql1;23829;-1,01134801243922;7,83976762720904;-3,43960353200814;0,000684592915810062;0,0912274139593174;-0,543164578759175;-1,01134801243922;7,47893625934266;8,49028427178188;7,32343422300146;7,27239874695122;7,68974667202214;7,63016539539583;8,18358488379779;8,73564884959621;8,55161908195163;0,384976165157039;0,763762615825973;-4,02153515886017;0,00504975318300948;7;0,329268631282689;0,386493171790642;237,986821705333
17328062;Emp2;13731;-1,05637058271908;5,95326970158576;-3,43904791870347;0,000685934102043211;0,0912274139593174;-0,544866579493983;-1,05637058271908;5,85638572975249;6,91275631247156;5,31143824206635;5,39266744090282;6,92120527894129;5,8002319570995;6,25973807221581;6,36028031385979;8,11825055133909;0,402179263536222;0,763762615825973;-1,81245664301501;0,112808234997997;7;0,763115501019177;0,386493171790642;237,986821705333
17340229;Gm19773;100503570;1,03074257848574;5,63041370871429;3,43601569025489;0,000693296951511876;0,0912274139593174;-0,55415078538642;1,03074257848575;6,18293597173229;5,15219339324654;6,08015395259829;6,47435630578586;5,45538958620853;6,72184404233648;5,2080663408028;5,24644404389196;5,00206979504487;0,392768528080058;0,763762615825973;2,38375892751075;0,0486127255607278;7;0,566147360601885;0,386493171790642;237,986821705333
17542034;Cdr1;631990;1,02780677350433;10,0478979763529;3,42167716227376;0,000729125551398806;0,0925244312760211;-0,597953051423058;1,02780677350433;10,3831441204827;9,35533734697832;10,2812641736378;10,9858260203618;9,72819175357031;10,5372945343607;10,1526652607233;9,34259144335119;8,57075533686045;0,393291035444156;0,763762615825973;2,32539769432854;0,052971681895074;7;0,578703142859546;0,386493171790642;237,986821705333
17309385;Dct;13190;-1,07480363460999;7,0147195124654;-3,42068528802686;0,000731666935290869;0,0925244312760211;-0,600976981965678;-1,07480363460999;6,55026977754577;7,62507341215576;6,21958586948826;5,83506402526781;7,35382932177577;6,79259989365124;6,25111794050369;7,45774837779477;9,16635391816881;0,411393674332184;0,763762615825973;-1,53114528157337;0,169590805050233;7;0,91908214479122;0,386493171790642;237,986821705333
17250744;Snord65;100217444;-1,01960165809595;6,31063908758857;-3,4097784463047;0,000760163855034226;0,0925244312760211;-0,634176510326804;-1,01960165809595;6,00136436711878;7,02096602521472;5,65604256055179;5,74344889156815;6,33657745963129;6,26938855672388;6,64958178676359;6,44716517083678;7,9661511180438;0,391512808614197;0,763762615825973;-2,49601433469168;0,0412320011218482;7;0,534841454117614;0,386493171790642;237,986821705333
17379260;R3hdml;100043899;-1,22108907399113;5,56886676208755;-3,40806998568391;0,000764720472473876;0,0925244312760211;-0,63936825142611;-1,22108907399113;5,55831923894817;6,7794083129393;4,95185769145361;4,80190555412027;7,75497073011963;4,72454298009917;5,49537170452659;5,2667130889777;9,57614014531362;0,469116214108076;0,763762615825973;-0,987070926195938;0,356489961907775;7;1,61972239954521;0,386493171790642;237,986821705333
17502191;Mrpl34;94065;-1,01262841772967;7,77343690082999;-3,40629218574827;0,000769489104389049;0,0925244312760211;-0,644768208753513;-1,01262841772967;7,46137986841373;8,4740082861434;7,18458606973067;7,08432911058133;7,77569694374496;7,80090734959797;8,05137648410343;8,43056621283201;8,94008216149476;0,389233145355859;0,763762615825973;-2,80282647476715;0,0264167390483229;7;0,473037426111093;0,386493171790642;237,986821705333
17476478;U2af1l4//Tmem149;233073;-0,995226364328017;6,87291293454379;-3,38844034907433;0,00081893769409524;0,0967176542353411;-0,698850905353147;-0,995226364328015;6,60524179099926;7,60046815532728;6,48082612000768;6,41780410357564;6,71723855636835;6,80509838404539;7,38719087986891;7,29353245218473;8,1206811339282;0,38455957636715;0,763762615825973;-4,1795979386738;0,0041393232753437;7;0,311766156531039;0,386493171790642;237,986821705333
17505903;Maf;17132;-1,03990321772639;5,37842813805572;-3,38023400225231;0,000842650238992185;0,0967176542353411;-0,723626081796918;-1,03990321772639;5,03111371319581;6,0710169309222;4,56661905371365;4,46109247785192;6,09114171357241;5,00560160764528;5,29314184818147;5,72238302132607;7,19752592325907;0,40279842058982;0,763762615825973;-1,75806700392043;0,122146504759454;7;0,774460196508449;0,386493171790642;237,986821705333
17414971;Tyrp1;22178;-1,05568682445383;5,82253778600319;-3,37910322591169;0,000845967437389705;0,0967176542353411;-0,727035665461712;-1,05568682445382;5,35749300633531;6,41317983078913;5,0883219206299;4,6916291267881;6,06829996560475;5,5817210123185;5,21823864675099;6,20857244191687;7,81272840369954;0,409048915373269;0,763762615825973;-1,56768465770279;0,160940568448768;7;0,881694225112161;0,386493171790642;237,986821705333
17548279;Mrps16;66242;-1,00051604193779;7,3738190202475;-3,36866354715466;0,000877173608279991;0,0986678829700751;-0,75846523930061;-1,00051604193779;7,15052904731415;8,15104508925194;6,89563615590211;6,75507803570305;7,43107191393647;7,52033008371496;7,97080056559114;8,01830989786191;8,46402480430275;0,388873207601887;0,763762615825973;-2,83202340874981;0,0253325877909547;7;0,46256079482474;0,386493171790642;237,986821705333
17335357;Lhfpl5;328789;-0,985123264290086;6,53129309936578;-3,34588873893718;0,000949014941842229;0,105054447689011;-0,826725127809632;-0,985123264290086;6,27847235374744;7,26359561803752;6,27989562136934;5,95348742208512;6,40717930181148;6,47332706972381;7,01147081922656;7,36079355546798;7,41852247941802;0,385496716350579;0,763762615825973;-3,68590994997048;0,00779858335213387;7;0,349935060715466;0,386493171790642;237,986821705333
17412534;Lyrm2;108755;-0,99363590496144;6,20378131056901;-3,31082963517227;0,00107039637913935;0,115105482884436;-0,930982115761902;-0,99363590496144;5,99441630105874;6,98805220602018;5,97112383632321;5,4718813602457;6,24381682078533;6,29084318688071;6,60346474012109;7,01541788781308;7,34527399012636;0,392945251921066;0,763762615825973;-2,2807191031378;0,0565762577095686;7;0,57042306668569;0,386493171790642;237,986821705333
