,SymbolsA,EntrezsA,AveExpr,B,A.PF14,A.PF19,A.PF23,A.PF39,A.PF46,B.PF24,B.PF25,B.PF28,B.PF34,B.PF42
205568_at,AQP9,366,8.46004335553997,-1.90564722604778,7.96106562732649,8.33030678368118,8.34843335759331,8.64395609009558,8.26803910828381,9.63053265907978,9.01712587845504,9.47790807959833,8.29198757233764,9.27915816964259
202593_s_at,GDE1,51573,7.42424644344332,-1.90832168722392,7.8058699509119,7.67282818706372,8.07537620569033,7.74275853515582,7.39196210824021,7.13913642168621,7.34327624436186,7.20525736122388,6.83281227244395,7.09394304650553
201276_at,RAB5B,5869,7.66688340375001,-1.9146977974907,7.96622204104486,7.99286232314916,7.85770330464852,7.94417102368422,7.83096147925455,7.40324026534492,7.08426417499216,7.04968318306469,7.62764482930418,7.34359151853445
213355_at,ST3GAL6,10402,6.83938973002441,-1.93002944755592,6.52356001014133,5.78893275108471,6.88926304527979,6.35172357292909,6.22193698559941,7.4655782431624,7.63904162683014,7.47001877250089,10.0787210692729,6.78677286883771
213484_at,ADD2,119,7.19487937823348,-1.93076873399998,7.04859311827319,6.75039215282481,6.74826330694822,6.58854637501177,7.05064480762734,7.52283531045208,8.39588120468068,7.01080911701281,8.63836970609538,7.30494943823058
200082_s_at,RPS7,6201,10.7737754997643,-1.93093364131162,10.5417742667146,10.7747654188654,10.2334607521846,10.6995786882376,10.2321179377105,10.68196517911,11.2859636785275,11.2477171537556,11.9632202068777,11.3118590058901
203712_at,KIAA0020,9933,9.8263712009108,-1.93399359603787,9.4570178340701,9.04880528626809,9.83152418614235,9.77948260693219,9.25207412691405,10.0129087150695,10.0128310062242,11.6855058950087,10.0996004217283,10.4793712532846
213293_s_at,TRIM22,10346,9.62321666468587,-1.93963068543271,8.28260501214913,9.007240217798,9.49419633686215,8.53603560012083,8.74019656550281,10.2187214944375,9.93561971221552,10.4114069804116,9.15419064468714,10.6380379484996
202705_at,CCNB2,9133,9.62976931685973,-1.94021953647055,9.4629799195832,9.39143221808313,9.66978188087949,8.7059894366459,8.99685275677651,9.75981573209424,10.3577242088155,10.8258232847977,10.4652559785684,9.8163021705491
203881_s_at,DMD,1756,6.30708736907305,-1.94407661832949,5.90950410575132,5.19416701302635,5.27813378811452,5.60880650240487,6.31147419245849,7.05454508790748,5.74950607571811,7.95164311892493,8.14330886268808,7.9391356164272
208899_x_at,ATP6V1D,51382,9.6634868429926,-1.94551729022923,9.94797955267894,9.60468316571793,10.0620743552745,10.3825848156189,9.76474787036836,9.54015413003013,9.49731689301559,9.17633237361377,8.98698028406347,9.21173966596754
214467_at,GPR65,8477,7.95840248344652,-1.94762761541953,7.26489043718639,7.71111432965482,7.6179490564934,7.83363351361077,7.40524245780588,9.01205832798944,8.28115402016993,8.42232077374867,7.55063123050856,8.84542008835308
204607_at,HMGCS2,3158,8.5165055453968,-1.94977052526121,10.7750622624682,7.57721274586549,8.50945404498801,10.3387840932614,11.5367160003712,7.20159195812309,7.18316581020832,7.10125874884887,7.35212881326559,6.88801430295396
217892_s_at,LIMA1,51474,10.1413773391718,-1.95123508903084,10.4819453735856,10.1640602813098,10.597840364748,10.2785161051577,10.8482399625844,10.14769322415,9.43949272129299,9.59973297123216,9.04389346395277,9.88554157166993
200783_s_at,STMN1,3925,9.98791614233174,-1.95256177762444,9.63232487170409,10.1699037048661,9.9350343824271,9.54499641574834,8.95967935074276,10.7950674106017,10.237991484857,10.3275667431187,10.7935285137023,10.1942652575983
221190_s_at,C18orf8,29919,8.28631636700903,-1.95652196872894,8.05768778556834,7.82865064844849,7.70215466314676,8.02696607124022,7.54833250678067,8.29260117033431,8.56964716429042,8.92003136966218,8.10672525433612,8.82559636812228
201717_at,MRPL49,740,10.7318186093412,-1.95703422410639,10.7477610207993,11.0246656146165,10.9254511186332,11.2837896833904,11.2672756542115,10.2632319752336,9.98101155279959,10.3373392876142,10.7613438359648,10.4347283309968
36936_at,TSTA3,7264,9.99605737901923,-1.96004785417806,11.0996312409037,10.892742704731,11.26260562043,10.3816373349388,10.4835210829119,8.84298889657363,10.2897415929702,9.72532901957421,8.08490232108482,9.85699118002809
205207_at,IL6,3569,5.67526173789599,-1.96882746489847,5.47696274312681,5.46025810408917,5.2462783971372,5.45258065052072,5.49249113225599,6.38666348249829,5.93385483420542,5.45108975718087,6.67818451256119,6.25663319404212
209421_at,MSH2,4436,7.96440874059389,-1.97565874533093,7.58024530527735,7.01074400785448,8.22257798466933,7.26875600790317,7.36329288231211,8.00742809263439,8.58239880402915,8.80723449894977,8.21749328806792,8.73346973667415
213716_s_at,SECTM1,6398,8.31488255274697,-1.98115863008699,8.00198136674841,7.89792641421521,7.71082931049119,7.95907319209482,7.88849458650018,8.58834923802617,8.39863823219263,9.0114028925091,8.09547384379955,8.89845624578947
218040_at,PRPF38B,55119,7.6982874174606,-1.98459684692652,7.44357106966931,7.47144233145612,7.31335166449595,7.1609831899151,7.31851948835728,7.89239500469173,7.9929803877691,7.7191244568581,8.5022536324908,8.05154235513485
211395_x_at,FCGR2C,9103,8.04907739431238,-1.98589753461969,7.70949359516661,8.20469389663287,7.68734721991169,7.72565287504683,7.57634193412974,8.76925336428501,8.86090294370078,8.5082119174084,7.96280761168621,8.53996284025971
213122_at,TSPYL5,85453,8.88350521668754,-1.99091649562897,7.51969474864566,6.53003149248731,9.11020098926489,8.9208724162726,6.83388709170601,8.22146223141708,9.97053257327856,11.0287872663561,10.1420523152406,10.4112751221313
